userName,review,rating,date,bank
Daniel Ephrem,So bad now and hard to use,5,2025-06-09 18:31:56,CBE
abdulkerim habib,"it is so amazing app. but, it is better to update it to access without any internet fees. just make it to open by free internet service when we open data connection.",5,2025-06-09 16:20:06,CBE
Abdulhalim Bedre,v.good app,4,2025-06-09 11:49:09,CBE
Moha Yimer,very good app,1,2025-06-09 01:24:23,CBE
Puoch chuol Wath,Very amazing app indeed. I'm enjoying it,5,2025-06-08 21:52:23,CBE
Xd Xd,Best,5,2025-06-08 18:25:37,CBE
Eyayu Ali,20 years,5,2025-06-08 12:04:48,CBE
zelalem fekadu,A great app. It's like carrying a bank in your pocket.,4,2025-06-07 20:21:52,CBE
Mossa Yiha,More than garrantty bank EBC.,4,2025-06-07 18:21:26,CBE
Hussein Seifu,really am happy to this app it is Siple to use everything,5,2025-06-07 11:02:38,CBE
Adonijah,I liked this app. But the User interface is very basic and not attractive at all.,2,2025-06-07 10:50:29,CBE
Aim4 Beyond,"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",4,2025-06-06 09:54:11,CBE
zakir man,what is this app problem???,1,2025-06-05 22:16:56,CBE
Yesuf Ahmed,the app is proactive and a good connections.,5,2025-06-05 15:55:10,CBE
Yonas Mekonnen,I cannot send to cbebirr app. through this app.,3,2025-06-05 11:12:49,CBE
Yibrah Yebo,good,4,2025-06-05 10:21:59,CBE
kibru tebeka,not functional,1,2025-06-05 07:38:12,CBE
Abreham Shiferaw,"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04 21:33:36,CBE
Ibrahim Sultan,አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04 20:54:30,CBE
oliyad werku,best,5,2025-06-04 19:59:04,CBE
Aschalew Fereja,bezabih,5,2025-06-04 18:22:41,CBE
Kumsa Mergia,Best Mobile Banking app ever,5,2025-06-04 16:50:52,CBE
Abuki Se,good,5,2025-06-04 16:00:15,CBE
Hermela Yoseph,it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04 15:56:02,CBE
Degu Emiru,good,5,2025-06-04 14:59:40,CBE
Melkamu Chalchisa,Good,5,2025-06-04 14:52:50,CBE
Sami Kassa,👌👍,5,2025-06-04 12:43:21,CBE
Tilahun Nedi,very niec,5,2025-06-04 11:21:53,CBE
Abdurahiman Abubaker Hussein,best app of finance,5,2025-06-04 07:38:54,CBE
Milky Yebassa,yetemeta,1,2025-06-03 21:04:44,CBE
ENGIDA KEBEDE,Engida Kebede Fetera,5,2025-06-03 20:20:23,CBE
Abel Beyena,good,5,2025-06-03 11:32:52,CBE
Senayt Weldeslase,it is not safety,1,2025-06-03 09:14:31,CBE
alem haylay,NICE bank,5,2025-06-03 08:42:36,CBE
Anwar Kebede,it is like a childish app make it better the worst I have ever seen,1,2025-06-02 12:23:42,CBE
Haileselassie tesfahunegn,"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02 10:40:18,CBE
Michael Tadesse Kitila,It's good but try to make it facilitate for your client,4,2025-06-02 09:11:40,CBE
Endalkachew Yihenew,best app,5,2025-06-01 21:16:28,CBE
Zewdu Seifu (Merga),Awesome bank,5,2025-06-01 20:31:42,CBE
Mac Meshesha,this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31 21:21:18,CBE
Abdusalam Mohamad,Masha alla,5,2025-05-31 14:37:05,CBE
Amanuel Gedefaw,"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31 11:30:33,CBE
Mule Doni,better service,5,2025-05-31 07:28:05,CBE
Gemechu Kedir,"it,s good app and time manager 👍",5,2025-05-30 19:13:36,CBE
Melkamu Jida Nemo,malkaamuu Jiidhaa Namoo,5,2025-05-30 15:08:04,CBE
Amanuel Habtamu,lower system everything,3,2025-05-30 13:45:05,CBE
Daniel Dere Deffecho,Nice!,5,2025-05-30 11:55:13,CBE
Mulugeta Abebe,Keep it up My CBE,5,2025-05-29 09:38:37,CBE
